place,title,name,age,desc,link,image
austin_homelessness,City Provider,Hunter,,"Police Officer who wants to do more, but is unclear about how to connect people to services",https://drive.google.com/file/d/1-g0DoC08m4QjB8n-oz7UzohR_shdnptv/view?usp=sharing,austin_homelessness_city_provider.png
austin_homelessness,High-Score,Brian,,"Has cycled through the system, which allows him to be a navigator for individuals that are newly homeless. Working to get housing",https://drive.google.com/file/d/1nQR8VtNzpA-2EXa4PP124dKIV4XBdtlG/view?usp=sharing,austin_homelessness_high_score.png
austin_homelessness,Low-Score,Jo & Kaitlyn,,Seeking information about paths to affordable housing. C.A. score does not qualify for housing placement,https://drive.google.com/file/d/1irdnt2FMoQUpr7NDDjRxIA3mpkyTY0lr/view?usp=sharing,austin_homelessness_low_score.png
austin_homelessness,Off the Grid,Ximena,,Surviving day to day with no support. Legal status and limited English make it hard to trust the system,https://drive.google.com/file/d/15B0Arv4236tmYGgzDNn_YxQmipoF-yPo/view?usp=sharing,austin_homelessness_off_grid.png
austin_homelessness,Service Provider,Hailey,,Working at a non-profit organization that has contracts with other major service providers. Committed to providing services to individuals experiencing homelessness. ,https://drive.google.com/file/d/1W-QJ_FDSq5_Gzw5vNhN9v4Ujfe396YZ2/view?usp=sharing,austin_homelessness_service_provider.png
austin_general,Non-Technical User,Ned,,"Council member looking for intuitive understanding of city services such as trash collection, transportation options, city rebate programs",https://drive.google.com/file/d/1TmlyHSXodXEbwceB8Z1B330rXYgBE3KL/view?usp=sharing#page=1,austin-non-technical-user.png
austin_general,Technical User,Tanya,,Data administrator for Animal Services looking for clean data sets to analze for time-sensitive reports to customers,https://drive.google.com/file/d/1TmlyHSXodXEbwceB8Z1B330rXYgBE3KL/view?usp=sharing#page=2,austin-technical-user.png
austin_general,Creator/Publisher,Carmen,,Data analyst at the planning department who needs timely high quality data to produce spatial and tabular performance reports,https://drive.google.com/file/d/1TmlyHSXodXEbwceB8Z1B330rXYgBE3KL/view?usp=sharing#page=3,austin-creator:publisher.png
austin_general,Special Interest User,Steve,,Social entrepreneur with tech background. Wants to create marketable product that benefits the community.,https://drive.google.com/file/d/1TmlyHSXodXEbwceB8Z1B330rXYgBE3KL/view?usp=sharing#page=4,austin-special-interest-user.png
collections,Data Curator,Ava Wright,,"Data Curator at a public research library. Acquires collections and makes sure they are processed correctly, well described and easy to access.",https://docs.google.com/document/d/1T_f80QworfzX9EoBHc0FyQ9FMNBkRAOzwiIAVNXHjYA/edit?usp=sharing,collections-data-curator.png
collections,Data Reporter,Eva Delgado,,"Works at a North American newspaper. Part analyst, part developer, part data scientist, produces data-driven stories.",https://docs.google.com/document/d/1tRNjrsh8rX07NACP_IqJTtnJ0x5AWAcgyw-ovoq_-po/edit?usp=sharing,collections-data-reporter.png
collections,Faculty,Dr. Kylie Yu,,Associate professor of US history at a small liberal arts college. Researches representations of immigrants in the media in the 19th century.,https://docs.google.com/document/d/15VIWtiWhaVDp3aPy_iELWJ8UrRZitbTeweKlMm3y244/edit?usp=sharing,collections-faculty.png
